slide,tumor_150,tumor_287,tumor_377,tumor_450,cd4_150,cd4_287,cd4_377,cd4_450,cd8_150,cd8_287,cd8_377,cd8_450,foxp3_150,foxp3_287,foxp3_377,foxp3_450,pdmac_150,pdmac_287,pdmac_377,pdmac_450,other_150,other_287,other_377,other_450,y,n_cells_corrected
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__27375-11_HP_IM3_16_[14141.2,14402.9].npy",21.0,54.0,51.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,12.0,15.0,10.0,0.09523809523809523,2343.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__24325-12_HP_IM3_1_[16105,9535].npy",10.0,27.0,25.0,18.0,0.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,12.0,5.0,16.0,16.0,57.0,32.0,36.0,0.6,2259.611669908308
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__44422-12_HP_IM3_1_[18730,17670].npy",23.0,97.0,84.0,77.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,8.0,22.0,15.0,0.0,3444.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__15515-12_HP_IM3_0_[16289,14583].npy",15.0,28.0,46.0,60.0,1.0,5.0,2.0,1.0,0.0,13.0,3.0,4.0,0.0,1.0,0.0,1.0,0.0,10.0,2.0,2.0,14.0,40.0,34.0,29.0,0.06666666666666668,2447.5071923060973
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\HNSCC 1-29-15__ES12 25463_HP_IM3_5_[34385.3,11572.5].npy",20.0,48.0,59.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,6.0,0.0,2120.2492903436278
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__34377-12_HP_IM3_0_[11957,7625].npy",50.0,69.0,68.0,47.0,0.0,1.0,6.0,3.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,6.0,7.0,5.0,4.0,7.0,13.0,25.0,0.4,3112.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__20671-11_HP_IM3_4_[11370,18026.5].npy",23.0,33.0,19.0,20.0,2.0,14.0,17.0,23.0,4.0,11.0,19.0,21.0,0.0,3.0,2.0,7.0,0.0,5.0,17.0,20.0,1.0,40.0,46.0,48.0,0.8260869565217391,3387.1764104510594
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__16915-06_HP_IM3_3_[14141.2,15438.7].npy",23.0,26.0,36.0,30.0,0.0,0.0,0.0,0.0,2.0,10.0,3.0,3.0,0.0,3.0,5.0,10.0,10.0,37.0,22.0,22.0,27.0,41.0,36.0,47.0,0.043478260869565216,3429.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__13971-09_HP_IM3_9_[12064.1,13368.3].npy",23.0,42.0,42.0,29.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,6.0,20.0,18.0,28.0,0.0,2930.157751826112
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\HNSCC 1-26-15__ES13 52013_HP_IM3_0_[31615.8,16230.7].npy",10.0,23.0,19.0,16.0,1.0,13.0,10.0,8.0,7.0,17.0,25.0,37.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,5.0,19.0,72.0,83.0,93.0,0.1,3952.098105847325
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\HNSCC 1-29-15__ES13 27252_HP_IM3_0_[24688.5,11055.2].npy",14.0,35.0,29.0,24.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,7.0,5.0,16.0,24.0,35.0,0.0,1922.7995726560696
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__20383-12_HP_IM3_0_[11918,14449].npy",42.0,85.0,60.0,33.0,10.0,12.0,24.0,18.0,8.0,23.0,29.0,30.0,2.0,2.0,9.0,3.0,0.0,3.0,1.0,1.0,10.0,53.0,44.0,65.0,1.0,4699.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__6431-10_HP_IM3_11_[16220.1,13885.6].npy",19.0,56.0,48.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,5.0,0.0,0.0,1.0,0.0,1.0,0.10526315789473684,1888.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__20383-12_HP_IM3_0_[11918,14449].npy",20.0,31.0,73.0,87.0,5.0,6.0,2.0,4.0,11.0,46.0,26.0,27.0,0.0,3.0,0.0,1.0,0.0,1.0,5.0,3.0,3.0,9.0,10.0,12.0,0.9,4699.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__34149-12_HP_IM3_2_[26585,12083].npy",13.0,48.0,64.0,75.0,1.0,1.0,5.0,1.0,2.0,1.0,0.0,1.0,3.0,8.0,7.0,3.0,0.0,0.0,0.0,0.0,20.0,32.0,19.0,15.0,0.0,3125.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__38893-12_HP_IM3_2_[14837,9391].npy",16.0,49.0,47.0,58.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,2876.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__5798-07_HP_IM3_8_[7551.5,12140.9].npy",18.0,25.0,36.0,33.0,0.0,0.0,0.0,1.0,12.0,28.0,20.0,12.0,12.0,49.0,27.0,24.0,1.0,0.0,0.0,0.0,8.0,40.0,33.0,32.0,1.0,2519.592497744969
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__24071-09_HP_IM3_14_[14833.6,13885.6].npy",23.0,30.0,29.0,33.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,10.0,40.0,46.0,55.0,0.043478260869565216,2663.1930813917224
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__24325-12_HP_IM3_0_[16650,8075].npy",15.0,46.0,56.0,49.0,0.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,8.0,15.0,16.0,21.0,0.26666666666666666,2807.1745176465715
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__34149-12_HP_IM3_2_[26585,12083].npy",26.0,52.0,50.0,51.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,18.0,15.0,15.0,0.0,3125.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__14700-11_HP_IM3_20_[8600.5,12332.4].npy",16.0,35.0,31.0,31.0,0.0,2.0,13.0,3.0,1.0,16.0,30.0,14.0,2.0,4.0,1.0,6.0,0.0,2.0,3.0,8.0,12.0,36.0,29.0,50.0,0.0,3321.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__3516-10_HP_IM3_20_[15527.7,12332.4].npy",19.0,29.0,28.0,22.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,40.0,31.0,34.0,0.8421052631578947,2162.1000661156572
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__1396-98_HP_IM3_11_[9292.9,16473.3].npy",35.0,32.0,26.0,13.0,0.0,0.0,0.0,2.0,0.0,1.0,10.0,12.0,0.0,1.0,0.0,2.0,0.0,3.0,6.0,10.0,2.0,13.0,25.0,28.0,0.0,2648.7090505729725
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__20701-07_HP_IM3_9_[12064.1,21131.6].npy",19.0,42.0,45.0,33.0,5.0,1.0,2.0,4.0,6.0,6.0,11.0,13.0,0.0,6.0,4.0,9.0,0.0,1.0,7.0,3.0,13.0,37.0,23.0,23.0,0.3684210526315789,2751.4794673576976
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__42724-12_HP_IM3_0_[12207,13566].npy",23.0,49.0,48.0,51.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,10.0,11.0,7.0,0.4782608695652174,1732.0538395382816
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__149-70_HP_IM3_9_[15527.7,13368.3].npy",19.0,49.0,33.0,40.0,0.0,3.0,3.0,5.0,0.0,0.0,14.0,32.0,0.0,5.0,11.0,12.0,1.0,0.0,0.0,0.0,23.0,68.0,101.0,114.0,0.9473684210526316,5646.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__5371-14_HP_IM3_0_[22131,12300].npy",12.0,17.0,18.0,27.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,4.0,2.0,1.0,5.0,4.0,1.0,0.08333333333333333,1393.8612992511596
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__34149-12_HP_IM3_2_[26585,12083].npy",25.0,47.0,42.0,63.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,4.0,2.0,13.0,7.0,1.0,0.0,0.0,0.0,0.0,6.0,30.0,36.0,24.0,0.0,3125.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__24986-13_HP_IM3_2_[21431,14744].npy",43.0,113.0,114.0,76.0,0.0,0.0,4.0,3.0,4.0,7.0,9.0,10.0,0.0,5.0,2.0,6.0,10.0,22.0,4.0,7.0,0.0,0.0,5.0,5.0,0.9302325581395348,3466.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\HNSCC 1-26-15__ES13 19009_HP_IM3_0_[24688.5,11055.2].npy",15.0,27.0,31.0,33.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,7.0,0.7333333333333333,1435.619136829793
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__13618-07_HP_IM3_1_[16005,18320].npy",36.0,81.0,85.0,65.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2662.3055589201235
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__3900-98_HP_IM3_15_[9628.7,15763.3].npy",41.0,101.0,115.0,130.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,2.0,11.0,1.0,4.0,2.0,5.0,10.0,6.0,2.0,8.0,0.0,1.0,1.0,3908.4713318625672
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__2777-13_HP_IM3_0_[19786,13794].npy",30.0,52.0,41.0,35.0,0.0,3.0,4.0,7.0,0.0,3.0,6.0,14.0,0.0,1.0,3.0,1.0,7.0,10.0,6.0,4.0,6.0,33.0,28.0,33.0,0.4666666666666667,2304.358649937212
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__44053-12_HP_IM3_0_[10745,14982].npy",33.0,91.0,67.0,53.0,0.0,0.0,4.0,4.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,10.0,20.0,0.0,3430.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__25370-12_HP_IM3_3_[16266,6803].npy",13.0,40.0,40.0,28.0,1.0,8.0,3.0,6.0,6.0,7.0,13.0,9.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,13.0,33.0,38.0,53.0,0.5384615384615384,3595.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__15515-12_HP_IM3_2_[15366,16321].npy",31.0,77.0,54.0,52.0,0.0,2.0,5.0,3.0,3.0,8.0,7.0,9.0,0.0,1.0,3.0,2.0,3.0,3.0,13.0,19.0,8.0,5.0,12.0,13.0,0.0967741935483871,2449.279049901723
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\HNSCC 1-29-15__ES12 25463_HP_IM3_5_[34385.3,11572.5].npy",20.0,35.0,32.0,28.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,32.0,46.0,0.0,2120.2492903436278
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\HNSCC 1-29-15__ES13 31114_HP_IM3_19_[17761.3,17782.6].npy",21.0,20.0,32.0,13.0,1.0,3.0,2.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,7.0,21.0,11.0,10.0,6.0,39.0,55.0,61.0,0.7142857142857143,2619.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__1781-10_HP_IM3_7_[23839.7,5605].npy",17.0,18.0,21.0,30.0,0.0,6.0,3.0,1.0,2.0,12.0,19.0,19.0,2.0,4.0,8.0,4.0,2.0,6.0,6.0,3.0,5.0,24.0,20.0,19.0,0.0,3063.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__5798-07_HP_IM3_8_[7551.5,12140.9].npy",10.0,31.0,37.0,32.0,0.0,1.0,0.0,0.0,12.0,13.0,8.0,3.0,8.0,24.0,10.0,15.0,0.0,0.0,0.0,0.0,12.0,34.0,43.0,30.0,1.0,2519.592497744969
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__24348-08_HP_IM3_2_[18407,7597].npy",20.0,48.0,58.0,61.0,0.0,3.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,11.0,5.0,12.0,0.1,3141.1439496767225
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__20383-12_HP_IM3_0_[11918,14449].npy",37.0,58.0,39.0,48.0,6.0,18.0,16.0,13.0,7.0,42.0,37.0,27.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,5.0,35.0,55.0,73.0,1.0,4699.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__37678-12_HP_IM3_2_[15627,14671].npy",23.0,64.0,64.0,75.0,1.0,2.0,4.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,15.0,57.0,52.0,52.0,0.043478260869565216,3495.999767838117
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__2816-98_HP_IM3_17_[27303.3,14402.9].npy",27.0,68.0,61.0,68.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,19.0,19.0,25.0,0.1851851851851852,2317.719008212954
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__39552-12_HP_IM3_2_[13531,10724].npy",51.0,127.0,131.0,126.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,3698.178818880776
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__24325-12_HP_IM3_1_[16105,9535].npy",19.0,40.0,38.0,44.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,10.0,11.0,12.0,0.0,11.0,27.0,34.0,0.05263157894736842,2259.611669908308
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__35626-11_HP_IM3_11_[12756.5,16473.3].npy",30.0,48.0,45.0,49.0,0.0,7.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,11.0,21.0,19.0,0.0,3487.4971401047633
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\HNSCC 2-3-15__ES13 5796_HP_IM3_18_[32308.1,17782.6].npy",22.0,43.0,43.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,24.0,22.0,24.0,0.0,1680.2483788911106
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__42724-12_HP_IM3_1_[11334,13638].npy",11.0,41.0,45.0,57.0,1.0,1.0,1.0,1.0,1.0,8.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,6.0,0.5454545454545454,1791.4882642933114
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__11329-10_HP_IM3_1_[9292.9,10263.2].npy",27.0,61.0,66.0,39.0,0.0,1.0,0.0,1.0,2.0,6.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,3.0,5.0,11.0,8.0,26.0,32.0,37.0,0.0,2906.2159206370284
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__21964-09_HP_IM3_17_[13448.9,9227.3].npy",24.0,51.0,53.0,37.0,1.0,2.0,6.0,8.0,4.0,5.0,4.0,4.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,20.0,44.0,17.0,40.0,0.0,2911.1381687966527
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__6431-10_HP_IM3_11_[16220.1,13885.6].npy",24.0,59.0,57.0,54.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,2.0,3.0,0.125,1888.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__19142-13_HP_IM3_1_[13903,12206].npy",20.0,40.0,35.0,39.0,4.0,1.0,4.0,4.0,4.0,4.0,14.0,10.0,2.0,5.0,10.0,7.0,0.0,1.0,0.0,0.0,10.0,18.0,14.0,22.0,0.0,3530.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__19142-13_HP_IM3_1_[13903,12206].npy",22.0,68.0,77.0,63.0,0.0,5.0,5.0,6.0,3.0,20.0,17.0,10.0,0.0,12.0,10.0,5.0,0.0,0.0,1.0,3.0,1.0,15.0,14.0,7.0,0.0,3530.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__20671-11_HP_IM3_9_[12064.1,15956].npy",21.0,49.0,25.0,25.0,0.0,6.0,4.0,6.0,1.0,3.0,8.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,13.0,30.0,29.0,1.0,2541.5945334086805
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__14700-11_HP_IM3_20_[8600.5,12332.4].npy",21.0,42.0,80.0,76.0,0.0,2.0,1.0,4.0,0.0,8.0,3.0,7.0,0.0,1.0,0.0,4.0,0.0,3.0,0.0,1.0,8.0,25.0,22.0,17.0,0.0,3321.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__44053-12_HP_IM3_2_[11012,10391].npy",32.0,88.0,74.0,80.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,12.0,0.03125,3006.6971418427124
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__30018-12_HP_IM3_0_[23805,15910].npy",38.0,104.0,110.0,108.0,1.0,1.0,0.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2739.6257528190117
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__24986-13_HP_IM3_0_[20025,15449].npy",32.0,56.0,53.0,44.0,2.0,2.0,3.0,1.0,5.0,19.0,20.0,27.0,2.0,13.0,4.0,1.0,3.0,8.0,19.0,17.0,2.0,16.0,16.0,29.0,0.0,3556.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__15515-12_HP_IM3_0_[16289,14583].npy",26.0,44.0,46.0,44.0,0.0,2.0,0.0,1.0,0.0,3.0,7.0,2.0,0.0,2.0,1.0,0.0,1.0,10.0,2.0,4.0,24.0,30.0,35.0,29.0,0.4230769230769231,2447.5071923060973
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__42724-12_HP_IM3_2_[10062,14938].npy",13.0,39.0,44.0,38.0,1.0,1.0,2.0,4.0,2.0,5.0,6.0,10.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,6.0,11.0,19.0,1.0,1753.4912948902795
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__2816-98_HP_IM3_21_[26611,14920.1].npy",15.0,12.0,13.0,22.0,0.0,3.0,2.0,2.0,1.0,11.0,21.0,12.0,0.0,3.0,2.0,1.0,0.0,0.0,2.0,3.0,37.0,68.0,57.0,35.0,0.06666666666666668,2444.575139902458
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__6236-13_HP_IM3_2_[15566,12661].npy",35.0,94.0,113.0,104.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3277.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__15399-10_HP_IM3_22_[9985.2,14920.1].npy",13.0,24.0,29.0,33.0,0.0,0.0,2.0,3.0,1.0,3.0,4.0,6.0,0.0,1.0,2.0,2.0,12.0,38.0,23.0,26.0,13.0,32.0,21.0,12.0,0.0,2669.144697004497
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__32458-12_HP_IM3_1_[22654,15166].npy",22.0,78.0,68.0,37.0,8.0,8.0,3.0,8.0,1.0,11.0,4.0,6.0,0.0,1.0,1.0,0.0,6.0,16.0,9.0,10.0,10.0,33.0,38.0,58.0,0.6363636363636364,3805.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__3469-14_HP_IM3_10_[15527.7,11297.8].npy",12.0,25.0,21.0,18.0,0.0,1.0,3.0,1.0,3.0,9.0,6.0,5.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.0,20.0,62.0,43.0,49.0,0.5833333333333334,2305.71140105838
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__14672-09_HP_IM3_24_[14833.6,12332.4].npy",20.0,39.0,28.0,29.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,26.0,37.0,40.0,0.0,2639.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__37097-12_HP_IM3_2_[8817,16226].npy",12.0,32.0,27.0,36.0,4.0,9.0,1.0,6.0,7.0,14.0,14.0,11.0,0.0,10.0,6.0,7.0,6.0,14.0,7.0,3.0,23.0,64.0,57.0,62.0,0.25,3752.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__1305-14_HP_IM3_18_[14478.8,18351.1].npy",12.0,26.0,28.0,36.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,6.0,27.0,20.0,40.0,0.16666666666666666,2406.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__3733-98_HP_IM3_12_[25562,17833.8].npy",38.0,48.0,49.0,43.0,0.0,0.0,1.0,2.0,0.0,10.0,6.0,10.0,0.0,8.0,16.0,20.0,3.0,5.0,6.0,7.0,3.0,36.0,43.0,32.0,0.0,3475.960548185717
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__871-14_HP_IM3_21_[12756.5,17507.9].npy",20.0,30.0,29.0,23.0,0.0,5.0,3.0,9.0,5.0,45.0,43.0,41.0,0.0,13.0,15.0,31.0,0.0,6.0,7.0,8.0,5.0,28.0,24.0,30.0,0.9,3699.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__24348-08_HP_IM3_0_[18585,8352].npy",10.0,21.0,21.0,21.0,1.0,5.0,2.0,4.0,3.0,34.0,46.0,37.0,0.0,4.0,1.0,2.0,0.0,2.0,4.0,4.0,20.0,62.0,47.0,59.0,0.3,3232.2302158273383
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__37678-12_HP_IM3_2_[15627,14671].npy",50.0,99.0,95.0,95.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,11.0,12.0,0.0,3495.999767838117
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\HNSCC 2-3-15__ES13 5796_HP_IM3_11_[32308.1,17265.3].npy",12.0,41.0,38.0,57.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,9.0,7.0,6.0,0.5833333333333334,1828.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__6431-10_HP_IM3_8_[16220.1,13368.3].npy",15.0,33.0,43.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.13333333333333333,1807.1423064647831
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__13618-07_HP_IM3_0_[16400,17315].npy",14.0,65.0,66.0,71.0,0.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.14285714285714285,2527.3617250673856
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__19142-13_HP_IM3_1_[13903,12206].npy",41.0,84.0,62.0,43.0,0.0,3.0,3.0,3.0,2.0,11.0,22.0,14.0,1.0,18.0,5.0,8.0,0.0,0.0,0.0,1.0,0.0,12.0,23.0,22.0,0.0,3530.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\HNSCC 1-29-15__ES13 34425_HP_IM3_11_[18453.6,9502].npy",17.0,48.0,37.0,47.0,2.0,13.0,9.0,5.0,20.0,31.0,30.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,19.0,10.0,16.0,0.0,3042.917474479565
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__17617-10_HP_IM3_14_[11370,11297.8].npy",12.0,35.0,26.0,23.0,0.0,2.0,3.0,5.0,0.0,14.0,10.0,8.0,0.0,1.0,6.0,8.0,1.0,8.0,3.0,3.0,10.0,37.0,44.0,44.0,0.16666666666666666,2928.9709446622405
