slide,tumor_150,tumor_287,tumor_377,tumor_450,cd4_150,cd4_287,cd4_377,cd4_450,cd8_150,cd8_287,cd8_377,cd8_450,foxp3_150,foxp3_287,foxp3_377,foxp3_450,pdmac_150,pdmac_287,pdmac_377,pdmac_450,other_150,other_287,other_377,other_450,y,n_cells_corrected
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__27975-12_HP_IM3_0_[14910,14677].npy",15.0,51.0,49.0,58.0,1.0,0.0,0.0,2.0,0.0,3.0,2.0,4.0,0.0,0.0,2.0,3.0,0.0,1.0,2.0,1.0,7.0,23.0,13.0,21.0,0.0,1738.4521816964834
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__1372-14_HP_IM3_1_[11015.2,16799.2].npy",11.0,28.0,19.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,17.0,32.0,38.0,50.0,0.0,1985.6405380548686
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__42724-12_HP_IM3_2_[10062,14938].npy",14.0,48.0,56.0,56.0,3.0,2.0,3.0,4.0,10.0,9.0,6.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,6.0,5.0,0.2857142857142857,1753.4912948902795
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__1441-13_HP_IM3_2_[15721,16176].npy",38.0,58.0,44.0,52.0,0.0,3.0,1.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,2.0,0.0,2.0,6.0,6.0,0.0,2882.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__43527-12_HP_IM3_1_[16244,10368].npy",24.0,31.0,27.0,20.0,0.0,2.0,7.0,4.0,1.0,9.0,3.0,3.0,0.0,2.0,7.0,8.0,12.0,18.0,9.0,9.0,4.0,23.0,36.0,29.0,0.7083333333333334,2357.212259351441
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\HNSCC 1-29-15__ES12 25463_HP_IM3_2_[33000.5,18818.5].npy",23.0,66.0,66.0,70.0,2.0,5.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,3.0,2.0,10.0,7.0,6.0,0.0,2862.262225461921
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__38444-12_HP_IM3_1_[14804,10257].npy",12.0,32.0,24.0,21.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,0.0,8.0,14.0,8.0,1.0,2.0,3.0,6.0,8.0,21.0,35.0,30.0,0.0,1753.3813899649397
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\HNSCC 1-29-15__ES13 34425_HP_IM3_11_[18453.6,9502].npy",29.0,65.0,53.0,58.0,1.0,4.0,9.0,3.0,0.0,3.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,6.0,0.7241379310344828,3042.917474479565
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__4720-10_HP_IM3_9_[22455,13368.3].npy",24.0,25.0,18.0,18.0,0.0,1.0,3.0,0.0,5.0,56.0,76.0,62.0,2.0,7.0,11.0,7.0,0.0,5.0,3.0,2.0,15.0,35.0,60.0,75.0,0.6666666666666666,4239.376561432859
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__11332-09_HP_IM3_0_[8600.5,10263.2].npy",18.0,33.0,65.0,63.0,0.0,3.0,0.0,0.0,4.0,13.0,7.0,8.0,0.0,1.0,1.0,0.0,9.0,35.0,27.0,29.0,10.0,10.0,11.0,21.0,0.05555555555555555,3541.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\HNSCC 1-29-15__ES13 34425_HP_IM3_11_[18453.6,9502].npy",17.0,22.0,27.0,31.0,10.0,31.0,26.0,18.0,18.0,49.0,59.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,33.0,26.0,24.0,0.0,3042.917474479565
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle validation__1441-13_HP_IM3_0_[19680,14583].npy",24.0,60.0,84.0,70.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,1.0,2.0,8.0,18.0,0.04166666666666666,3452.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__7771-09_HP_IM3_13_[21068.5,11297.8].npy",13.0,40.0,35.0,25.0,0.0,0.0,2.0,1.0,6.0,10.0,8.0,4.0,0.0,0.0,1.0,2.0,7.0,3.0,3.0,3.0,4.0,24.0,27.0,26.0,1.0,2221.0
"C:/Users/fredl/Documents/datasets/EACRI HNSCC/processed\halle_hnscc__11332-09_HP_IM3_0_[8600.5,10263.2].npy",17.0,32.0,60.0,57.0,1.0,3.0,0.0,0.0,25.0,27.0,20.0,12.0,0.0,0.0,0.0,0.0,8.0,42.0,32.0,35.0,5.0,19.0,7.0,12.0,0.05882352941176471,3541.0
